Date,PREC (in),Median PREC (in),SNWD (in),TAVG (degF),WTEQ (in),Median WTEQ (in)
8/4/2024,32,36,0,59.7,0,0
8/5/2024,32,36,0,63.1,0,0
8/6/2024,32,36,0,62.8,0,0
8/7/2024,32,36,0,61.9,0,0
8/8/2024,32,36,0,61.2,0,0
8/9/2024,32,36,0,60.8,0,0
8/10/2024,32,36,0,61,0,0
8/11/2024,32,36,0,60.6,0,0
8/12/2024,32,36,0,57.7,0,0
8/13/2024,32,36,0,54.5,0,0
8/14/2024,32,36,0,53.8,0,0
8/15/2024,32,36,0,52.3,0,0
8/16/2024,32,36,0,56.1,0,0
8/17/2024,32,36,0,53.6,0,0
8/18/2024,32,36,0,54.9,0,0
8/19/2024,32,36,0,57,0,0
8/20/2024,32,36,0,56.3,0,0
8/21/2024,32,36,0,54.1,0,0
8/22/2024,32,36,0,51.1,0,0
8/23/2024,32,36,0,43.7,0,0
8/24/2024,32.2,36,0,38.1,0,0
8/25/2024,32.2,36,0,44.6,0,0
8/26/2024,32.2,36,0,53.1,0,0
8/27/2024,32.2,36,0,56.1,0,0
8/28/2024,32.2,36,0,57.2,0,0
8/29/2024,32.2,36,0,58.8,0,0
8/30/2024,32.2,36,0,58.6,0,0
8/31/2024,32.2,36,0,58.8,0,0
9/1/2024,32.2,36,0,60.4,0,0
9/2/2024,32.2,36,0,59,0,0
9/3/2024,32.2,36,0,58.6,0,0
9/4/2024,32.2,36,0,59,0,0
9/5/2024,32.2,36,0,61.3,0,0
9/6/2024,32.2,36,0,61.3,0,0
9/7/2024,32.2,36,0,61,0,0
9/8/2024,32.2,36,0,58.6,0,0
9/9/2024,32.2,36,0,57,0,0
9/10/2024,32.2,36,0,59.4,0,0
9/11/2024,32.2,36,0,50,0,0
9/12/2024,32.2,36,0,47.5,0,0
9/13/2024,32.2,36.2,0,51.8,0,0
9/14/2024,32.2,36.2,0,52.5,0,0
9/15/2024,32.2,36.2,0,47.5,0,0
9/16/2024,32.3,36.2,0,37.2,0,0
9/17/2024,32.4,36.3,0,39.2,0,0
9/18/2024,32.6,36.3,0,41.5,0,0
9/19/2024,32.6,36.3,0,41.9,0,0
9/20/2024,32.6,36.3,0,47.1,0,0
9/21/2024,32.6,36.7,0,50.4,0,0
9/22/2024,32.6,36.8,0,52.2,0,0
9/23/2024,32.6,36.8,0,53.4,0,0
9/24/2024,32.6,36.8,0,55.8,0,0
9/25/2024,32.6,36.8,0,55.4,0,0
9/26/2024,32.6,36.8,0,55.4,0,0
9/27/2024,32.6,36.8,0,56.1,0,0
9/28/2024,32.6,36.8,0,57.2,0,0
9/29/2024,32.6,36.8,0,55.4,0,0
9/30/2024,0,0,0,56.5,0,0
10/1/2024,0,0,0,57.7,0,0
10/2/2024,0,0,0,56.5,0,0
10/3/2024,0,0.1,0,56.8,0,0
10/4/2024,0,0.2,0,56.8,0,0
10/5/2024,0,0.4,0,53.8,0,0
10/6/2024,0,0.4,0,54.7,0,0
10/7/2024,0,0.4,0,54.3,0,0
10/8/2024,0,0.4,0,53.2,0,0
10/9/2024,0,0.5,0,53.1,0,0
10/10/2024,0,0.6,0,53.4,0,0
10/11/2024,0,0.6,0,50.7,0,0
10/12/2024,0,0.6,0,48.6,0,0
10/13/2024,0,0.8,0,47.1,0,0
10/14/2024,0,0.8,0,49.3,0,0
10/15/2024,0,0.8,0,50.4,0,0
10/16/2024,0.6,0.8,0,41,0,0
10/17/2024,0.8,1.2,0,34.2,0,0
10/18/2024,0.8,1.2,0,31.1,0,0
10/19/2024,0.8,1.4,0,40.3,0,0
10/20/2024,0.8,1.4,0,43.5,0,0
10/21/2024,0.8,1.4,0,43.7,0,0
10/22/2024,0.8,1.8,0,45.7,0,0
10/23/2024,0.8,1.8,0,47.5,0,0
10/24/2024,0.8,1.8,0,47.3,0,0
10/25/2024,0.8,1.8,0,50.9,0,0
10/26/2024,0.8,1.8,0,47.8,0,0
10/27/2024,0.8,1.8,0,44.6,0,0
10/28/2024,1.2,1.8,2,31.3,0.2,0
10/29/2024,1.2,1.8,1,27.3,0.2,0
10/30/2024,1.2,2,1,29.7,0.2,0
10/31/2024,1.2,2.2,1,31.5,0.2,0
11/1/2024,1.3,2.4,1,32.5,0.3,0
11/2/2024,1.5,2.6,2,31.6,0.5,0.2
11/3/2024,1.5,2.7,2,28.6,0.5,0.3
11/4/2024,1.5,2.8,2,34.9,0.5,0.4
11/5/2024,1.5,2.8,2,35.1,0.5,0.2
11/6/2024,1.5,2.8,1,26.1,0.3,0.2
11/7/2024,1.5,2.8,1,35.8,0.3,0.4
11/8/2024,1.5,3.2,1,40.6,0.3,0.4
11/9/2024,1.5,3.4,1,40.3,0.3,0.6
11/10/2024,1.5,3.4,1,42.3,0.3,0.6
11/11/2024,1.9,3.6,4,31.5,0.7,0.8
11/12/2024,2,3.6,4,25.2,0.7,0.9
11/13/2024,2.1,4.2,4,32.5,0.8,1
11/14/2024,2.2,4.3,4,30.6,0.9,1
11/15/2024,2.5,4.3,11,23.4,1.2,1
11/16/2024,2.5,4.6,9,21.6,1.2,1
11/17/2024,2.7,5.2,8,32.4,1.3,1
11/18/2024,2.7,5.6,7,22.5,1.3,1
11/19/2024,2.7,5.6,7,24.3,1.3,1.2
11/20/2024,2.9,6,8,34.3,1.5,1.8
11/21/2024,3,6,9,36.9,1.6,1.9
11/22/2024,4,6,18,37,2.6,2.1
11/23/2024,5,6.1,21,28.8,3.6,2.2
11/24/2024,5,6.1,19,23.9,3.6,2.2
11/25/2024,5.8,6.1,23,29.1,4.4,2.2
11/26/2024,6.1,6.1,23,26.1,4.8,2.2
11/27/2024,6.1,6.1,22,20.8,4.8,2.6
11/28/2024,6.1,6.5,21,22.5,4.8,2.8
11/29/2024,6.1,6.8,20,25.9,4.8,2.8
11/30/2024,6.1,7,19,29.1,4.8,3
12/1/2024,6.1,7.6,19,35.2,4.8,4
12/2/2024,6.1,8.2,19,36,4.8,4
12/3/2024,6.1,8.2,18,36.3,4.8,4.4
12/4/2024,6.1,8.4,18,36.1,4.8,4.5
12/5/2024,6.1,8.4,18,35.2,4.8,4.6
12/6/2024,6.1,8.4,18,36.3,4.8,4.6
12/7/2024,6.1,8.8,17,39.2,4.8,4.7
12/8/2024,6.1,8.8,17,33.6,4.8,4.7
12/9/2024,6.1,8.8,16,26.4,4.8,4.7
12/10/2024,6.1,9,16,34.9,4.8,4.8
12/11/2024,6.1,9,16,37.2,4.8,5.2
12/12/2024,6.6,9,21,26.6,5.2,6
12/13/2024,6.8,9.1,22,26.8,5.5,6
12/14/2024,8.6,9.3,34,24.8,7.4,6
12/15/2024,8.7,9.8,33,22.8,7.6,6.1
12/16/2024,9.1,10,34,31.3,8.2,6.3
12/17/2024,9.1,10,32,31.1,8.2,6.6
12/18/2024,9.1,11.3,30,34,8.2,6.8
12/19/2024,9.1,11.4,29,37.9,8.2,7
12/20/2024,9.1,11.4,29,42.6,8.2,7.1
12/21/2024,9.1,11.9,29,39.4,8.2,7.2
12/22/2024,9.3,12.6,28,36.3,8.4,7.2
12/23/2024,9.4,12.9,27,37.8,8.5,7.3
12/24/2024,9.8,13.2,31,29.5,9,8.3
12/25/2024,9.8,13.6,30,24.6,9,9
12/26/2024,10.1,13.6,33,30.9,9.5,9
12/27/2024,10.4,13.8,34,34.5,9.9,9.1
12/28/2024,10.4,13.8,31,36.9,9.9,9.1
12/29/2024,11,14,34,31.5,10.8,9.3
12/30/2024,11,14.1,33,23.7,10.8,9.3
12/31/2024,11,14.1,33,23.4,10.8,9.3
1/1/2025,11,14.2,33,32.7,10.8,9.4
1/2/2025,11.1,14.2,32,36.9,10.9,9.4
1/3/2025,11.6,14.2,37,31.1,11.3,9.5
1/4/2025,11.6,14.2,36,24.6,11.3,10.7
1/5/2025,11.6,14.2,36,32,11.3,11.1
1/6/2025,11.7,14.2,36,31.6,11.4,11.8
1/7/2025,11.7,14.2,35,22.8,11.4,12.8
1/8/2025,11.7,14.8,35,30.9,11.4,13.2
1/9/2025,11.7,14.8,34,31.6,11.4,13.6
1/10/2025,11.7,14.8,34,36.7,11.4,13.6
1/11/2025,11.7,14.8,34,25.9,11.4,13.6
1/12/2025,11.7,15,34,21.2,11.4,13.6
1/13/2025,11.7,15,33,21.7,11.4,13.7
1/14/2025,11.7,15,33,31.3,11.4,13.7
1/15/2025,11.7,15,33,32.7,11.4,14.4
1/16/2025,11.7,15.4,33,29.5,11.4,14.9
1/17/2025,11.7,16.2,33,27.7,11.3,15
1/18/2025,11.7,16.2,33,30.4,11.3,15
1/19/2025,11.7,16.2,33,29.1,11.3,15.4
1/20/2025,11.7,16.6,32,22.1,11.2,16.4
1/21/2025,11.7,16.7,32,32,11.1,17
1/22/2025,11.7,17.4,32,32.7,11.1,17.2
1/23/2025,11.7,17.9,32,35.6,11,17.2
1/24/2025,11.7,18.2,32,34.2,11,17.6
1/25/2025,11.8,18.3,34,19,11.1,18.4
1/26/2025,11.9,18.3,35,15.6,11.2,18.4
1/27/2025,11.9,18.3,34,19.6,11.2,19.6
1/28/2025,11.9,18.5,34,24.4,11.2,19.8
1/29/2025,11.9,18.8,33,30.6,11.2,20.1
1/30/2025,11.9,18.8,33,32.9,11.2,20.1
1/31/2025,12.4,19,35,34.7,11.7,20.6
2/1/2025,13.4,19,34,35.1,12.7,20.6
2/2/2025,13.5,20.4,35,35.1,12.9,21.2
2/3/2025,13.5,21.4,34,37.6,12.9,21.8
2/4/2025,14.5,22,41,32,14.6,22
2/5/2025,14.7,22.1,40,25.3,14.8,22.3
2/6/2025,16,22.1,48,30.9,16.4,22.6
2/7/2025,16.5,22.1,49,22.8,16.9,22.6
2/8/2025,16.5,22.2,48,17.8,16.9,22.6
2/9/2025,16.5,22.6,48,21,16.9,22.6
2/10/2025,16.5,22.8,48,22.6,16.9,22.6
2/11/2025,16.6,22.8,47,16.9,17,22.8
2/12/2025,16.7,22.9,47,21.9,17.3,22.8
2/13/2025,19.7,22.9,69,29.7,20.8,22.8
2/14/2025,20.1,22.9,70,24.3,21.5,22.8
2/15/2025,20.1,23.3,68,25.9,21.5,22.8
2/16/2025,20.1,23.6,67,32.5,21.5,22.8
2/17/2025,20.1,24,66,28.8,21.5,22.8
2/18/2025,20.1,24,65,29.7,21.5,22.8
2/19/2025,20.2,24.4,65,32.2,21.7,22.8
2/20/2025,20.2,24.4,64,27.7,21.7,22.9
2/21/2025,20.2,24.4,63,32.4,21.7,23.1
2/22/2025,20.2,24.9,62,36.5,21.7,23.4
2/23/2025,20.2,25.3,60,40.3,21.7,24.2
2/24/2025,20.2,25.6,59,40.8,21.7,24.4
2/25/2025,20.2,25.6,58,37.6,21.7,24.4
2/26/2025,20.2,25.6,57,37.6,21.7,24.7
2/27/2025,20.2,25.6,57,39.2,21.7,24.6
2/28/2025,20.2,25.6,56,38.8,21.7,24.6
3/1/2025,20.2,25.6,55,38.1,21.7,24.6
3/2/2025,20.4,25.6,58,24.4,21.9,25.8
3/3/2025,20.4,25.6,56,25.7,21.9,26.1
3/4/2025,20.4,26,56,29.3,21.9,26
3/5/2025,20.8,26.7,60,27.5,22.4,26.8
3/6/2025,20.9,27.8,62,21.9,22.6,27.5
3/7/2025,20.9,28.2,61,19.6,22.6,27.6
3/8/2025,20.9,28.3,57,30.7,22.6,27.6
3/9/2025,20.9,28.4,56,38.3,22.6,27.6
3/10/2025,20.9,28.4,55,36.7,22.6,27.8
3/11/2025,20.9,28.8,54,33.8,22.6,27.7
3/12/2025,22.1,28.9,68,28.2,23.8,28.2
3/13/2025,22.5,29.5,74,20.1,24.3,28.4
3/14/2025,22.8,29.6,74,21,24.8,28.5
3/15/2025,22.8,29.6,72,25.5,24.8,28.6
3/16/2025,23,29.6,70,33.3,25,28.8
3/17/2025,24.4,29.6,80,24.1,27,28.8
3/18/2025,24.4,29.6,75,21.4,27,28.8
3/19/2025,24.4,29.6,73,27.5,27,28.6
3/20/2025,24.4,29.9,71,31.5,27,28.5
3/21/2025,24.4,29.9,69,33.4,27,28.3
3/22/2025,24.4,29.9,68,35.1,27,28.2
3/23/2025,24.4,29.9,65,39.9,27,28.2
3/24/2025,24.4,30,63,44.2,26.9,28.6
3/25/2025,24.4,30.2,61,44.2,26.4,28.6
3/26/2025,24.4,30.2,59,43.5,25.8,28.6
3/27/2025,24.7,30.2,60,35.2,25.7,28.8
3/28/2025,24.8,30.2,58,30.2,25.6,28.7
3/29/2025,24.8,30.4,57,29.5,25.4,28.8
3/30/2025,25.5,30.9,62,31.3,26.1,29.4
3/31/2025,26.4,31.2,70,25.5,27.6,29.5
4/1/2025,26.8,31.2,74,20.8,28.1,29.3
4/2/2025,26.8,31.2,69,21,28.1,28.9
4/3/2025,26.8,31.2,68,23.4,28.1,28.7
4/4/2025,26.8,31.4,66,28.6,28.1,28.4
4/5/2025,26.8,31.4,64,34.3,28.1,28.2
4/6/2025,26.8,31.6,63,39.9,28,27.8
4/7/2025,26.8,32,62,39,27.7,27.6
4/8/2025,26.8,32,61,41.4,27.4,27.2
4/9/2025,26.8,32.6,57,44.2,26.8,27.8
4/10/2025,26.8,32.8,56,45.3,26.2,27.7
4/11/2025,26.8,32.8,54,45.3,25.5,27.6
4/12/2025,26.8,32.8,53,42.3,24.7,27.4
4/13/2025,26.8,32.8,51,38.8,24.2,27.2
4/14/2025,26.8,32.9,50,42.1,23.7,26.9
4/15/2025,26.8,33.1,49,42.6,23.2,26.6
4/16/2025,26.8,33.2,48,41,22.7,26.4
4/17/2025,26.8,33.2,46,38.3,22.1,26
4/18/2025,26.8,33.2,44,34.2,21.5,25.2
4/19/2025,26.8,33.2,43,38.3,20.9,24.6
4/20/2025,26.8,33.2,40,40.6,20.2,24.1
4/21/2025,26.8,33.2,39,40.8,19.5,23.6
4/22/2025,26.8,33.6,36,40.6,18.8,23.8
4/23/2025,26.8,33.6,35,38.8,18.2,23.4
4/24/2025,26.8,33.7,34,38.8,17.5,23
4/25/2025,27,33.8,35,34.9,17.1,22.6
4/26/2025,27.4,33.8,39,28,18,22.2
4/27/2025,27.5,34.2,39,28.8,18.4,22
4/28/2025,27.5,34.2,38,36.3,18.2,21.6
4/29/2025,27.5,34.4,36,42.3,17.2,21.1
4/30/2025,27.5,34.4,34,42.1,16.3,20.8
5/1/2025,27.5,34.6,32,43.3,15.1,20.4
5/2/2025,27.5,34.6,30,44.8,13.9,19.7
5/3/2025,27.5,34.6,28,39.2,13.5,19.2
5/4/2025,27.6,34.6,26,36.7,12.8,18.4
5/5/2025,27.6,34.6,22,38.5,11.7,17.6
5/6/2025,27.6,34.9,20,40.5,10.7,17.4
5/7/2025,27.6,35.2,17,43,9.4,16.7
5/8/2025,27.6,35.2,15,45.7,8.3,15.8
5/9/2025,27.6,35.2,13,49.6,6.9,14.7
5/10/2025,27.6,35.2,10,51.3,5.2,13.6
5/11/2025,27.6,35.2,8,45.9,3.6,12.8
5/12/2025,27.8,35.2,7,34.5,3.4,12
5/13/2025,27.9,35.2,9,29.8,3.7,10.9
5/14/2025,27.9,35.2,6,35.4,2.7,9.8
5/15/2025,27.9,35.2,3,40.5,1.4,8.3
5/16/2025,27.9,35.2,2,43.3,0.7,7.2
5/17/2025,27.9,35.2,1,38.5,0.4,6.5
5/18/2025,27.9,35.2,0,39.6,0,6.3
5/19/2025,27.9,35.2,0,43,0,5.8
5/20/2025,27.9,35.4,0,44.1,0,5.1
5/21/2025,27.9,35.4,0,47.5,0,4.2
5/22/2025,27.9,35.4,0,48,0,2.9
5/23/2025,27.9,35.4,0,46.4,0,1.8
5/24/2025,27.9,35.4,0,47.1,0,1.4
5/25/2025,27.9,35.6,0,48.9,0,1.4
5/26/2025,27.9,35.6,0,46.6,0,1.2
5/27/2025,27.9,35.6,0,50.2,0,1
5/28/2025,27.9,35.6,0,50.5,0,0.8
5/29/2025,27.9,35.6,0,53.4,0,0.6
5/30/2025,27.9,35.6,0,58.1,0,0.2
5/31/2025,27.9,35.6,0,58.1,0,0
6/1/2025,27.9,35.6,0,56.1,0,0
6/2/2025,27.9,35.6,0,53.1,0,0
6/3/2025,27.9,35.6,0,52.7,0,0
6/4/2025,27.9,35.6,0,51.3,0,0
6/5/2025,28.5,35.6,0,47.3,0,0
6/6/2025,28.5,35.6,0,48.9,0.1,0
